amp scraper aws_prometheus_scraper
apigateway account aws_api_gateway_account
apigateway domain_name_access_association aws_api_gateway_domain_name_access_association
appconfig environment aws_appconfig_environment
appfabric app_authorization aws_appfabric_app_authorization
appfabric app_authorization_connection aws_appfabric_app_authorization_connection
appfabric app_bundle aws_appfabric_app_bundle
appfabric ingestion aws_appfabric_ingestion
appfabric ingestion_destination aws_appfabric_ingestion_destination
apprunner default_auto_scaling_configuration_version aws_apprunner_default_auto_scaling_configuration_version
apprunner deployment aws_apprunner_deployment
appsync source_api_association aws_appsync_source_api_association
auditmanager account_registration aws_auditmanager_account_registration
auditmanager assessment aws_auditmanager_assessment
auditmanager assessment_delegation aws_auditmanager_assessment_delegation
auditmanager assessment_report aws_auditmanager_assessment_report
auditmanager control aws_auditmanager_control
auditmanager framework aws_auditmanager_framework
auditmanager framework_share aws_auditmanager_framework_share
auditmanager organization_admin_account_registration aws_auditmanager_organization_admin_account_registration
backup logically_air_gapped_vault aws_backup_logically_air_gapped_vault
backup restore_testing_plan aws_backup_restore_testing_plan
backup restore_testing_selection aws_backup_restore_testing_selection
batch job_queue aws_batch_job_queue
bcmdataexports export aws_bcmdataexports_export
bedrock custom_model aws_bedrock_custom_model
bedrock guardrail aws_bedrock_guardrail
bedrock guardrail_version aws_bedrock_guardrail_version
bedrock inference_profile aws_bedrock_inference_profile
bedrock model_invocation_logging_configuration aws_bedrock_model_invocation_logging_configuration
bedrock provisioned_model_throughput aws_bedrock_provisioned_model_throughput
bedrockagent agent aws_bedrockagent_agent
bedrockagent agent_action_group aws_bedrockagent_agent_action_group
bedrockagent agent_alias aws_bedrockagent_agent_alias
bedrockagent agent_knowledge_base_association aws_bedrockagent_agent_knowledge_base_association
bedrockagent data_source aws_bedrockagent_data_source
bedrockagent knowledge_base aws_bedrockagent_knowledge_base
chatbot slack_channel_configuration aws_chatbot_slack_channel_configuration
chatbot teams_channel_configuration aws_chatbot_teams_channel_configuration
cloudfront continuous_deployment_policy aws_cloudfront_continuous_deployment_policy
cloudfront key_value_store aws_cloudfront_key_value_store
cloudfront vpc_origin aws_cloudfront_vpc_origin
cloudfrontkeyvaluestore key aws_cloudfrontkeyvaluestore_key
cloudtrail organization_delegated_admin_account aws_cloudtrail_organization_delegated_admin_account
codeconnections connection aws_codeconnections_connection
codeconnections host aws_codeconnections_host
codeguruprofiler profiling_group aws_codeguruprofiler_profiling_group
cognitoidp managed_user_pool_client aws_cognito_managed_user_pool_client
cognitoidp user_pool_client aws_cognito_user_pool_client
computeoptimizer enrollment_status aws_computeoptimizer_enrollment_status
computeoptimizer recommendation_preferences aws_computeoptimizer_recommendation_preferences
configservice retention_configuration aws_config_retention_configuration
costoptimizationhub enrollment_status aws_costoptimizationhub_enrollment_status
costoptimizationhub preferences aws_costoptimizationhub_preferences
datazone asset_type aws_datazone_asset_type
datazone domain aws_datazone_domain
datazone environment aws_datazone_environment
datazone environment_blueprint_configuration aws_datazone_environment_blueprint_configuration
datazone environment_profile aws_datazone_environment_profile
datazone form_type aws_datazone_form_type
datazone glossary aws_datazone_glossary
datazone glossary_term aws_datazone_glossary_term
datazone project aws_datazone_project
datazone user_profile aws_datazone_user_profile
devopsguru event_sources_config aws_devopsguru_event_sources_config
devopsguru notification_channel aws_devopsguru_notification_channel
devopsguru resource_collection aws_devopsguru_resource_collection
devopsguru service_integration aws_devopsguru_service_integration
docdbelastic cluster aws_docdbelastic_cluster
drs replication_configuration_template aws_drs_replication_configuration_template
ds trust aws_directory_service_trust
dynamodb resource_policy aws_dynamodb_resource_policy
ec2 ebs_fast_snapshot_restore aws_ebs_fast_snapshot_restore
ec2 ec2_capacity_block_reservation aws_ec2_capacity_block_reservation
ec2 ec2_eip_domain_name aws_eip_domain_name
ec2 ec2_instance_connect_endpoint aws_ec2_instance_connect_endpoint
ec2 ec2_instance_metadata_defaults aws_ec2_instance_metadata_defaults
ec2 transitgateway_default_route_table_association aws_ec2_transit_gateway_default_route_table_association
ec2 transitgateway_default_route_table_propagation aws_ec2_transit_gateway_default_route_table_propagation
ec2 vpc_block_public_access_exclusion aws_vpc_block_public_access_exclusion
ec2 vpc_block_public_access_options aws_vpc_block_public_access_options
ec2 vpc_endpoint_private_dns aws_vpc_endpoint_private_dns
ec2 vpc_endpoint_service_private_dns_verification aws_vpc_endpoint_service_private_dns_verification
ec2 vpc_security_group_egress_rule aws_vpc_security_group_egress_rule
ec2 vpc_security_group_ingress_rule aws_vpc_security_group_ingress_rule
ec2 vpc_security_group_vpc_association aws_vpc_security_group_vpc_association
ecr account_setting aws_ecr_account_setting
eks pod_identity_association aws_eks_pod_identity_association
elasticache reserved_cache_node aws_elasticache_reserved_cache_node
elasticache serverless_cache aws_elasticache_serverless_cache
fms resource_set aws_fms_resource_set
globalaccelerator cross_account_attachment aws_globalaccelerator_cross_account_attachment
glue catalog_table_optimizer aws_glue_catalog_table_optimizer
grafana workspace_service_account aws_grafana_workspace_service_account
grafana workspace_service_account_token aws_grafana_workspace_service_account_token
guardduty malware_protection_plan aws_guardduty_malware_protection_plan
iam group_policies_exclusive aws_iam_group_policies_exclusive
